WordNet ID,Name,Clutter,Difficulty,Scale,CNN similarity: highest ranked,Human similarity: highest ranked,Semantic similarity: highest ranked
n02951358,canoe,2.9637,0.1556,0.1791,"canoe, paddle, swimming_trunks, bathing_cap, seashore","canoe, speedboat, trimaran, paddle, snowmobile","canoe, yawl, speedboat, lifeboat, gondola"
n02951585,can_opener,2.3818,0.4286,0.4187,"can_opener, wooden_spoon, whistle, buckle, screwdriver","can_opener, corkscrew, whistle, scabbard, screw","can_opener, corkscrew, plunger, shovel, plane"
n02963159,cardigan,2.6889,0.3400,0.6896,"cardigan, sweatshirt, poncho, wool, stole","cardigan, sweatshirt, poncho, jersey, mitten","cardigan, sweatshirt, hoopskirt, trench_coat, jean"
n02965783,car_mirror,2.7987,0.0800,0.4754,"car_mirror, suspension_bridge, switch, toilet_seat, mobile_home","car_mirror, pickup, grille, jeep, cab","car_mirror, solar_dish, combination_lock, violin, stethoscope"
n02966193,carousel,3.2648,0.0851,0.9792,"carousel, stage, caldron, pole, lifeboat","carousel, organ, groom, yurt, throne","carousel, potter's_wheel, pinwheel, paddlewheel, hook"
n02966687,carpenter's_kit,2.6350,0.3696,0.7947,"carpenter's_kit, lens_cap, tape_player, remote_control, tripod","carpenter's_kit, combination_lock, CD_player, barometer, loudspeaker","carpenter's_kit, drilling_platform, crossword_puzzle, Polaroid_camera, parachute"
n02971356,carton,1.5275,0.6875,0.6354,"carton, chest, wallet, letter_opener, envelope","bookcase, carton, chiffonier, rocking_chair, entertainment_center","carton, mailbox, safe, chest, crate"
n02974003,car_wheel,1.7530,0.7200,0.5113,"car_wheel, beach_wagon, sports_car, convertible, minivan","car_wheel, beach_wagon, pickup, ambulance, Model_T","car_wheel, potter's_wheel, pinwheel, paddlewheel, gas_pump"
n02977058,cash_machine,2.6617,0.2245,0.5439,"cash_machine, monitor, loupe, toaster, stove","entertainment_center, cash_machine, desk, monitor, home_theater","cash_machine, hand-held_computer, desktop_computer, laptop, notebook"
n02978881,cassette,1.8730,0.5682,0.5570,"cassette, cassette_player, tape_player, CD_player, radio","cassette, CD_player, dial_telephone, oscilloscope, hand-held_computer","cassette, mixing_bowl, whiskey_jug, water_jug, water_bottle"
n02979186,cassette_player,1.9784,0.7400,0.5626,"cassette_player, tape_player, CD_player, cassette, radio","cassette_player, oscilloscope, hand-held_computer, CD_player, radio","cassette_player, CD_player, tape_player, modem, monitor"
n02980441,castle,1.6786,0.3000,0.4340,"castle, monastery, palace, dome, church","castle, viaduct, church, palace, stupa","castle, steel_arch_bridge, viaduct, cinema, mosque"
n02981792,catamaran,1.0552,0.3673,0.4968,"catamaran, trimaran, schooner, yawl, speedboat","catamaran, schooner, trimaran, wreck, speedboat","catamaran, trimaran, schooner, container_ship, wreck"
n02988304,CD_player,2.0564,0.6531,0.4960,"CD_player, cassette_player, tape_player, radio, cassette","CD_player, oscilloscope, notebook, hand-held_computer, tape_player","CD_player, cassette_player, monitor, pay-phone, tape_player"
n02992211,cello,3.5285,0.2708,0.5219,"cello, violin, acoustic_guitar, electric_guitar, stage","cello, oboe, harp, cornet, electric_guitar","cello, violin, upright, banjo, grand_piano"
n02992529,cellular_telephone,1.8428,0.4600,0.4017,"cellular_telephone, hand-held_computer, letter_opener, tape_player, combination_lock","cellular_telephone, reflex_camera, dial_telephone, stopwatch, digital_watch","cellular_telephone, dial_telephone, pay-phone, cassette_player, monitor"
n02999410,chain,1.5945,0.7917,0.5479,"chain, necklace, hook, padlock, hair_slide","cornet, chain, oboe, harp, cello","chain, flagpole, crutch, drumstick, perfume"
n03000134,chainlink_fence,1.5588,0.3800,0.9841,"chainlink_fence, street_sign, organ, fire_screen, ashcan","chainlink_fence, barn, organ, tile_roof, mobile_home","chainlink_fence, picket_fence, worm_fence, stone_wall, grille"
n03000247,chain_mail,3.0334,0.3617,0.5775,"chain_mail, hook, chain, necklace, safety_pin","chain_mail, sarong, trench_coat, miniskirt, oboe","chain_mail, cuirass, bulletproof_vest, shield, tile_roof"
n03000684,chain_saw,3.2603,0.1800,0.1317,"chain_saw, power_drill, screwdriver, vacuum, hatchet","chain_saw, unicycle, rifle, tripod, dumbbell","chain_saw, power_drill, cleaver, letter_opener, plow"
n03014705,chest,2.3587,0.4200,0.7009,"chest, carton, chiffonier, letter_opener, loupe","chest, entertainment_center, file, gas_pump, safe","chest, mailbox, safe, crate, carton"
n03016953,chiffonier,2.0168,0.7872,0.7888,"chiffonier, wardrobe, medicine_chest, plate_rack, bookcase","chiffonier, bookcase, file, china_cabinet, entertainment_center","chiffonier, bassinet, cradle, desk, medicine_chest"
n03017168,chime,1.9904,0.5800,0.4773,"chime, gong, wall_clock, shield, pool_table","chime, maypole, guillotine, torch, organ","chime, marimba, gong, drum, steel_drum"
n03018349,china_cabinet,3.2596,0.2800,0.7099,"china_cabinet, plate_rack, medicine_chest, chiffonier, wardrobe","china_cabinet, bookcase, entertainment_center, file, plate_rack","china_cabinet, medicine_chest, wardrobe, file, chiffonier"
n03026506,Christmas_stocking,2.3536,0.1915,0.6774,"Christmas_stocking, mitten, sock, hair_slide, wool","Christmas_stocking, sock, bonnet, mitten, diaper","Christmas_stocking, sock, maillot, cardigan, swimming_trunks"
n03028079,church,2.1407,0.3400,0.6637,"church, bell_cote, altar, dome, monastery","church, palace, triumphal_arch, castle, viaduct","church, mosque, stupa, monastery, palace"
n03032252,cinema,2.3776,0.4400,0.8577,"cinema, barbershop, bookshop, tobacco_shop, stage","cinema, bell_cote, bookshop, scoreboard, street_sign","cinema, home_theater, greenhouse, boathouse, restaurant"
n03041632,cleaver,2.5607,0.7755,0.3955,"cleaver, letter_opener, spatula, ladle, wooden_spoon","cleaver, maraca, ocarina, trombone, wooden_spoon","cleaver, letter_opener, hatchet, plow, plane"
n03042490,cliff_dwelling,1.1322,0.2222,0.6730,"cliff_dwelling, cliff, stone_wall, megalith, monastery","cliff_dwelling, stone_wall, cliff, maze, viaduct","cliff_dwelling, yurt, mobile_home, restaurant, boathouse"
n03045698,cloak,3.3570,0.7143,0.5761,"cloak, abaya, overskirt, velvet, trench_coat","cloak, trench_coat, hoopskirt, kimono, stole","cloak, cardigan, suit, bikini, sweatshirt"
n03047690,clog,2.1079,0.4878,0.5208,"clog, sandal, cowboy_boot, Loafer, running_shoe","clog, sandal, running_shoe, Loafer, cowboy_boot","clog, Loafer, running_shoe, sandal, cowboy_boot"
n03062245,cocktail_shaker,2.5999,0.3478,0.3314,"cocktail_shaker, saltshaker, soap_dispenser, beer_glass, milk_can","cocktail_shaker, coffeepot, teapot, beaker, hourglass","cocktail_shaker, saltshaker, mixing_bowl, beer_bottle, whiskey_jug"
n03063599,coffee_mug,2.2715,0.4898,0.5092,"coffee_mug, cup, espresso, measuring_cup, water_jug","coffeepot, teapot, goblet, espresso, mixing_bowl","coffee_mug, caldron, barrel, mortar, water_tower"
n03063689,coffeepot,2.4208,0.4800,0.5431,"coffeepot, teapot, water_jug, pitcher, espresso_maker","coffeepot, espresso, goblet, whiskey_jug, teapot","coffeepot, caldron, teapot, barrel, bucket"
n03065424,coil,1.7220,0.4800,0.8537,"coil, electric_fan, flagpole, lampshade, palace","coil, obelisk, chime, flagpole, guillotine","coil, viaduct, steel_arch_bridge, cinema, church"
n03075370,combination_lock,1.9341,0.4400,0.3643,"combination_lock, padlock, switch, tape_player, cellular_telephone","combination_lock, stopwatch, wall_clock, barometer, Polaroid_camera","combination_lock, padlock, hair_slide, nail, safety_pin"
n03085013,computer_keyboard,1.4564,0.4082,0.7912,"computer_keyboard, space_bar, notebook, mouse, screen","computer_keyboard, space_bar, laptop, typewriter_keyboard, remote_control","computer_keyboard, typewriter_keyboard, combination_lock, violin, stethoscope"
n03089624,confectionery,3.1134,0.4595,0.9890,"confectionery, toyshop, grocery_store, butcher_shop, bakery","confectionery, restaurant, goblet, coffeepot, grocery_store","confectionery, butcher_shop, shoe_shop, bookshop, toyshop"
n03095699,container_ship,1.2396,0.2245,0.3655,"container_ship, dock, crane, pier, aircraft_carrier","container_ship, liner, fireboat, schooner, wreck","container_ship, wreck, liner, pirate, catamaran"
n03100240,convertible,1.8522,0.3409,0.5415,"convertible, sports_car, car_wheel, racer, beach_wagon","convertible, jeep, sports_car, pickup, limousine","convertible, sports_car, jeep, Model_T, beach_wagon"
n03109150,corkscrew,2.3249,0.4000,0.5065,"corkscrew, hook, can_opener, buckle, modem","corkscrew, can_opener, screw, whistle, rifle","corkscrew, can_opener, plunger, hammer, shovel"
n03110669,cornet,3.2595,0.6000,0.3276,"cornet, trombone, French_horn, sax, drum","cornet, harp, cello, oboe, sax","cornet, trombone, French_horn, organ, flute"
n03124043,cowboy_boot,2.0722,0.4894,0.4870,"cowboy_boot, clog, sunglasses, Loafer, jean","sandal, cowboy_boot, Loafer, running_shoe, clog","cowboy_boot, running_shoe, sandal, Loafer, clog"
n03124170,cowboy_hat,4.7748,0.4583,0.2013,"cowboy_hat, suit, sombrero, cowboy_boot, clog","oboe, banjo, harp, cello, electric_guitar","cowboy_hat, sombrero, bonnet, bearskin, football_helmet"
n03125729,cradle,2.8242,0.6800,0.7232,"cradle, bassinet, crib, vacuum, toilet_tissue","cradle, crib, bassinet, quilt, bath_towel","cradle, crib, bassinet, folding_chair, barber_chair"
n03126707,crane,2.0415,0.3265,0.4926,"crane, pier, container_ship, drilling_platform, wreck","crane, schooner, missile, catamaran, trimaran","crane, combination_lock, violin, stethoscope, switch"
n03127747,crash_helmet,2.2952,0.2083,0.4929,"crash_helmet, motor_scooter, bulletproof_vest, moped, oxygen_mask","crash_helmet, football_helmet, punching_bag, unicycle, moped","crash_helmet, football_helmet, cowboy_hat, bearskin, sombrero"
n03127925,crate,2.0077,0.5000,0.6607,"crate, mobile_home, chiffonier, wine_bottle, beer_bottle","turnstile, desk, gas_pump, plate_rack, crate","crate, mailbox, safe, pencil_box, carton"
n03131574,crib,2.9759,0.3200,0.7478,"crib, cradle, bassinet, plate_rack, quilt","crib, bassinet, quilt, cradle, four-poster","crib, cradle, bassinet, rocking_chair, bookcase"
n03133878,Crock_Pot,2.6049,0.3200,0.6706,"Crock_Pot, hot_pot, wok, soup_bowl, ladle","Crock_Pot, espresso, wok, goblet, soup_bowl","Crock_Pot, spatula, wok, frying_pan, screwdriver"
n03134739,croquet_ball,3.1857,0.1600,0.0108,"croquet_ball, stretcher, shovel, hatchet, broom","croquet_ball, volleyball, puck, ballplayer, racket","croquet_ball, rugby_ball, baseball, tennis_ball, ping-pong_ball"
n03141823,crutch,4.1141,0.6458,0.1514,"crutch, shovel, hammer, drumstick, stretcher","crutch, vacuum, padlock, military_uniform, stretcher","crutch, flagpole, spindle, matchstick, drumstick"
n03146219,cuirass,2.5269,0.6200,0.5053,"cuirass, breastplate, shield, holster, mask","cuirass, harp, cornet, bearskin, flute","cuirass, chain_mail, bulletproof_vest, shield, tile_roof"
n03160309,dam,1.1128,0.2653,0.4611,"dam, boathouse, promontory, pier, valley","wreck, pier, breakwater, dam, cliff","dam, breakwater, grille, stone_wall, chainlink_fence"
n03179701,desk,4.3318,0.4286,0.4568,"desk, monitor, desktop_computer, screen, mouse","desk, entertainment_center, monitor, notebook, home_theater","desk, cradle, bassinet, dining_table, table_lamp"
n03180011,desktop_computer,3.7498,0.5306,0.6782,"desktop_computer, monitor, screen, desk, mouse","desktop_computer, notebook, printer, oscilloscope, photocopier","desktop_computer, notebook, laptop, hand-held_computer, web_site"
n03187595,dial_telephone,1.9401,0.2000,0.7392,"dial_telephone, tape_player, television, teapot, crate","dial_telephone, oscilloscope, CD_player, hand-held_computer, cassette_player","dial_telephone, pay-phone, cellular_telephone, monitor, cassette_player"
n03188531,diaper,3.5506,0.4082,0.1623,"diaper, bassinet, sunscreen, quilt, brassiere","diaper, bonnet, bath_towel, purse, mitten","diaper, hoopskirt, trench_coat, kimono, bikini"
n03196217,digital_clock,1.5704,0.4694,0.4883,"digital_clock, digital_watch, stopwatch, microwave, radio","oscilloscope, hand-held_computer, remote_control, CD_player, radio","digital_clock, wall_clock, analog_clock, parking_meter, sundial"
n03197337,digital_watch,1.4558,0.4800,0.6273,"digital_watch, stopwatch, digital_clock, buckle, magnetic_compass","stopwatch, digital_watch, dial_telephone, wall_clock, iPod","digital_watch, stopwatch, sundial, parking_meter, hourglass"
n03201208,dining_table,3.2308,0.3125,0.4369,"dining_table, restaurant, bakery, sliding_door, china_cabinet","dining_table, hamper, throne, organ, bookcase","dining_table, cradle, bassinet, desk, medicine_chest"
n03207743,dishrag,1.4848,0.1600,0.7536,"dishrag, stole, wool, bib, purse","dishrag, stole, shower_curtain, trench_coat, apron","dishrag, bib, paper_towel, handkerchief, bath_towel"
n03207941,dishwasher,3.1050,0.5400,0.6601,"dishwasher, plate_rack, file, microwave, stove","dishwasher, gas_pump, plate_rack, microwave, entertainment_center","dishwasher, washer, refrigerator, Dutch_oven, microwave"
n03208938,disk_brake,1.8404,0.2400,0.4149,"disk_brake, moped, oil_filter, unicycle, mountain_bike","disk_brake, motor_scooter, tank, moped, go-kart","disk_brake, safety_pin, buckle, hair_slide, knot"
n03216828,dock,1.4295,0.5385,0.3620,"dock, container_ship, pirate, boathouse, lakeside","wreck, dock, yawl, pirate, gondola","dock, steel_arch_bridge, viaduct, cinema, church"
n03218198,dogsled,2.6751,0.1224,0.1343,"dogsled, Eskimo_dog, malamute, Siberian_husky, snowmobile","Rottweiler, dogsled, Walker_hound, EntleBucher, curly-coated_retriever","dogsled, bobsled, pirate, schooner, catamaran"
n03220513,dome,1.6141,0.5000,0.3802,"dome, church, palace, monastery, mosque","dome, palace, stupa, obelisk, planetarium","dome, vault, thatch, tile_roof, bell_cote"
n03223299,doormat,1.7652,0.4600,0.5579,"doormat, velvet, plunger, chest, space_heater","doormat, binder, envelope, bookcase, menu","doormat, prayer_rug, cardigan, diaper, jersey"
n03240683,drilling_platform,1.3769,0.1667,0.4836,"drilling_platform, aircraft_carrier, crane, submarine, warplane","drilling_platform, wreck, pier, suspension_bridge, breakwater","drilling_platform, carpenter's_kit, crossword_puzzle, parachute, Polaroid_camera"
n03249569,drum,2.6924,0.6735,0.4853,"drum, drumstick, cornet, acoustic_guitar, electric_guitar","cello, oboe, electric_guitar, sax, trombone","drum, chime, steel_drum, gong, marimba"
n03250847,drumstick,3.0587,0.6042,0.1948,"drumstick, drum, rubber_eraser, letter_opener, crutch","flute, drumstick, cello, French_horn, oboe","drumstick, spindle, matchstick, crutch, flagpole"
n03255030,dumbbell,3.0344,0.4130,0.1496,"dumbbell, barbell, parallel_bars, stretcher, hook","dumbbell, chain_saw, puck, parallel_bars, horizontal_bar","dumbbell, barbell, parallel_bars, horizontal_bar, balance_beam"
n03259280,Dutch_oven,2.4775,0.3878,0.4912,"Dutch_oven, frying_pan, wok, caldron, ladle","Dutch_oven, espresso, hot_pot, Crock_Pot, mixing_bowl","Dutch_oven, rotisserie, espresso_maker, waffle_iron, microwave"
n03271574,electric_fan,1.7654,0.3400,0.6291,"electric_fan, spotlight, loupe, projector, lampshade","electric_fan, analog_clock, barometer, combination_lock, wall_clock","electric_fan, carousel, paddlewheel, reel, combination_lock"
n03272010,electric_guitar,1.9508,0.4200,0.5797,"electric_guitar, acoustic_guitar, stage, drum, microphone","electric_guitar, cello, oboe, harp, cornet","electric_guitar, acoustic_guitar, violin, cello, grand_piano"
n03272562,electric_locomotive,1.4627,0.1458,0.4374,"electric_locomotive, passenger_car, school_bus, trolleybus, streetcar","trolleybus, electric_locomotive, minibus, ambulance, moving_van","electric_locomotive, steam_locomotive, moving_van, garbage_truck, police_van"
n03290653,entertainment_center,3.9237,0.1333,0.6720,"entertainment_center, home_theater, bookcase, television, CD_player","entertainment_center, desk, home_theater, monitor, file","entertainment_center, bassinet, cradle, medicine_chest, desk"
n03291819,envelope,1.9933,0.5106,0.7401,"envelope, packet, binder, book_jacket, wallet","envelope, binder, menu, doormat, comic_book","envelope, mixing_bowl, beer_bottle, jinrikisha, water_bottle"
n03297495,espresso_maker,2.4975,0.5600,0.6560,"espresso_maker, coffeepot, water_jug, medicine_chest, wardrobe","espresso_maker, espresso, Crock_Pot, pop_bottle, goblet","espresso_maker, microwave, Dutch_oven, waffle_iron, toaster"
n03314780,face_powder,2.3504,0.3542,0.3569,"face_powder, lotion, cleaver, wooden_spoon, ice_lolly","face_powder, magnetic_compass, hair_spray, waffle_iron, potter's_wheel","face_powder, lipstick, lotion, perfume, sunscreen"
n03325584,feather_boa,3.9978,0.2800,0.3798,"feather_boa, mask, torch, Windsor_tie, trench_coat","feather_boa, kimono, gown, bikini, academic_gown","feather_boa, stole, hoopskirt, trench_coat, suit"
n03337140,file,2.7379,0.2553,0.5994,"file, chiffonier, dishwasher, printer, washer","file, entertainment_center, bookcase, chiffonier, china_cabinet","file, bassinet, cradle, desk, medicine_chest"
n03344393,fireboat,1.4268,0.1000,0.1552,"fireboat, lakeside, catamaran, aircraft_carrier, container_ship","fireboat, catamaran, schooner, wreck, yawl","fireboat, speedboat, lifeboat, yawl, gondola"
n03345487,fire_engine,2.9831,0.2200,0.5774,"fire_engine, tow_truck, trailer_truck, pole, crane","fire_engine, pickup, Model_T, jeep, beach_wagon","fire_engine, moving_van, garbage_truck, pickup, tow_truck"
n03347037,fire_screen,2.0687,0.5200,0.6451,"fire_screen, window_shade, sliding_door, wardrobe, vault","fire_screen, organ, bookshop, marimba, altar","fire_screen, mosquito_net, window_screen, tile_roof, vault"
n03355925,flagpole,1.7364,0.4082,0.1077,"flagpole, pole, dome, church, swimming_trunks","flagpole, obelisk, crane, radio_telescope, coil","flagpole, crutch, spindle, matchstick, drumstick"
n03372029,flute,3.7411,0.6458,0.2085,"flute, oboe, bassoon, sax, French_horn","flute, harp, cello, oboe, cornet","flute, bassoon, sax, oboe, ocarina"
n03376595,folding_chair,1.7784,0.4583,0.5106,"folding_chair, rocking_chair, park_bench, backpack, swing","folding_chair, quilt, rocking_chair, crib, bassinet","folding_chair, throne, rocking_chair, barber_chair, studio_couch"
n03379051,football_helmet,3.0989,0.1429,0.2772,"football_helmet, rugby_ball, theater_curtain, pajama, hair_spray","football_helmet, puck, rugby_ball, volleyball, ballplayer","football_helmet, crash_helmet, sombrero, cowboy_hat, bearskin"
n03384352,forklift,3.2061,0.3000,0.5774,"forklift, harvester, garbage_truck, golfcart, thresher","forklift, fire_engine, Model_T, tractor, beach_wagon","forklift, moving_van, police_van, amphibian, snowplow"
n03388043,fountain,2.3107,0.3158,0.5175,"fountain, monastery, castle, swimming_trunks, bikini","fountain, cliff, suspension_bridge, wreck, yurt","fountain, home_theater, confectionery, obelisk, dock"
n03388183,fountain_pen,1.6152,0.4186,0.3611,"fountain_pen, ballpoint, letter_opener, screwdriver, lighter","fountain_pen, can_opener, corkscrew, whistle, ballpoint","fountain_pen, ballpoint, quill, plane, screwdriver"
n03388549,four-poster,3.5604,0.1600,0.7524,"four-poster, wardrobe, studio_couch, quilt, mosquito_net","four-poster, throne, shoji, mosquito_net, quilt","four-poster, bassinet, cradle, medicine_chest, desk"
n03393912,freight_car,1.6725,0.0816,0.8045,"freight_car, steam_locomotive, greenhouse, pier, boathouse","freight_car, trolleybus, passenger_car, minibus, streetcar","freight_car, passenger_car, beach_wagon, racer, minivan"
n03394916,French_horn,3.2760,0.2917,0.6157,"French_horn, cornet, trombone, flute, bassoon","French_horn, cello, trombone, sax, electric_guitar","French_horn, cornet, trombone, organ, ocarina"
n03400231,frying_pan,2.3777,0.6122,0.7506,"frying_pan, wok, Dutch_oven, wooden_spoon, spatula","hot_pot, Crock_Pot, soup_bowl, Dutch_oven, mixing_bowl","frying_pan, wok, Crock_Pot, spatula, shovel"
n03404251,fur_coat,4.0325,0.2653,0.5010,"fur_coat, trench_coat, cloak, sock, miniskirt","fur_coat, mitten, poncho, sweatshirt, abaya","fur_coat, trench_coat, lab_coat, poncho, hoopskirt"
n03417042,garbage_truck,2.9211,0.1400,0.4924,"garbage_truck, moving_van, trailer_truck, tow_truck, forklift","garbage_truck, trolleybus, minibus, trailer_truck, electric_locomotive","garbage_truck, moving_van, fire_engine, pickup, tow_truck"
n03424325,gasmask,3.3353,0.3800,0.2683,"gasmask, oxygen_mask, mask, cloak, wig","gasmask, bearskin, spindle, breastplate, mask","gasmask, ski_mask, tile_roof, birdhouse, bell_cote"
n03425413,gas_pump,2.3959,0.2400,0.5295,"gas_pump, ashcan, pay-phone, stove, pole","gas_pump, plate_rack, safe, washer, dishwasher","gas_pump, paddlewheel, potter's_wheel, pinwheel, car_wheel"
n03443371,goblet,2.1000,0.4375,0.4827,"goblet, wine_bottle, red_wine, beer_glass, cup","goblet, espresso, coffeepot, mixing_bowl, teapot","goblet, beer_glass, mixing_bowl, water_jug, beer_bottle"
n03444034,go-kart,3.7754,0.1875,0.3011,"go-kart, moped, motor_scooter, lawn_mower, wine_bottle","go-kart, moped, tricycle, unicycle, motor_scooter","go-kart, limousine, minivan, jeep, ambulance"
n03445777,golf_ball,1.6256,0.2292,0.1752,"golf_ball, ping-pong_ball, beaker, Petri_dish, thimble","golf_ball, soccer_ball, tennis_ball, baseball, rugby_ball","golf_ball, tennis_ball, croquet_ball, soccer_ball, punching_bag"
n03445924,golfcart,3.7364,0.2553,0.5725,"golfcart, minivan, forklift, tow_truck, sports_car","Model_T, golfcart, thresher, fire_engine, ambulance","golfcart, cab, minivan, jeep, limousine"
n03447447,gondola,2.7430,0.1622,0.2745,"gondola, dock, lakeside, crane, wreck","gondola, wreck, pier, breakwater, fireboat","gondola, speedboat, fireboat, yawl, canoe"
n03447721,gong,2.4009,0.2917,0.3582,"gong, chime, shield, hook, letter_opener","gong, barometer, oil_filter, magnetic_compass, hourglass","gong, drum, chime, steel_drum, marimba"
n03450230,gown,3.2301,0.5200,0.5158,"gown, overskirt, groom, hoopskirt, bakery","gown, bikini, kimono, hoopskirt, academic_gown","gown, brassiere, fur_coat, shower_cap, mortarboard"
n03452741,grand_piano,3.4587,0.3400,0.5828,"grand_piano, upright, organ, throne, wine_bottle","grand_piano, upright, brass, panpipe, marimba","grand_piano, upright, violin, cello, harp"
n03457902,greenhouse,2.2532,0.2449,0.9870,"greenhouse, patio, pier, bell_cote, obelisk","greenhouse, planetarium, barn, tile_roof, church","greenhouse, church, library, home_theater, boathouse"
n03459775,grille,1.9227,0.4167,0.2291,"grille, car_wheel, pickup, beach_wagon, minivan","pickup, grille, jeep, fire_engine, ambulance","grille, bannister, chainlink_fence, picket_fence, breakwater"
n03461385,grocery_store,3.1973,0.5333,0.9887,"grocery_store, butcher_shop, toyshop, confectionery, tobacco_shop","grocery_store, restaurant, Dutch_oven, rotisserie, Crock_Pot","grocery_store, barbershop, shoe_shop, butcher_shop, bookshop"
n03467068,guillotine,2.5500,0.2600,0.5382,"guillotine, punching_bag, miniskirt, toyshop, sewing_machine","guillotine, chime, organ, coil, altar","guillotine, radio_telescope, magnetic_compass, loupe, odometer"
n03476684,hair_slide,2.0414,0.5870,0.4457,"hair_slide, chain, pencil_box, velvet, purse","pencil_box, hair_slide, purse, spindle, marimba","hair_slide, knot, combination_lock, nail, screw"
n03476991,hair_spray,3.8759,0.8085,0.0678,"hair_spray, sunscreen, lotion, medicine_chest, screwdriver","hair_spray, face_powder, whiskey_jug, sunscreen, cocktail_shaker","hair_spray, perfume, face_powder, lotion, sunscreen"
n03478589,half_track,3.1250,0.3750,0.6173,"half_track, tank, amphibian, projectile, harvester","half_track, ambulance, snowplow, amphibian, bullet_train","half_track, aircraft_carrier, tank, submarine, warplane"
n03481172,hammer,2.4730,0.4694,0.3801,"hammer, crutch, letter_opener, shovel, screwdriver","hammer, scabbard, corkscrew, power_drill, assault_rifle","hammer, plunger, can_opener, shovel, screwdriver"
n03482405,hamper,2.3465,0.3800,0.6401,"hamper, shopping_basket, vase, tray, waffle_iron","hamper, dining_table, restaurant, coffeepot, plate_rack","hamper, shopping_basket, mixing_bowl, pop_bottle, water_bottle"
n03483316,hand_blower,2.9281,0.6122,0.2373,"hand_blower, loupe, stethoscope, hair_spray, Band_Aid","hand_blower, chain_saw, iron, tripod, lipstick","hand_blower, combination_lock, violin, switch, joystick"
n03485407,hand-held_computer,1.7724,0.5111,0.6831,"hand-held_computer, cellular_telephone, notebook, digital_clock, screen","oscilloscope, hand-held_computer, CD_player, remote_control, radio","hand-held_computer, notebook, laptop, desktop_computer, slide_rule"
n03485794,handkerchief,2.0540,0.3400,0.7959,"handkerchief, bib, envelope, wool, sleeping_bag","handkerchief, apron, pillow, dishrag, poncho","handkerchief, dishrag, bib, paper_towel, bath_towel"
n03492542,hard_disc,1.8875,0.3000,0.7135,"hard_disc, tape_player, cassette, projector, lighter","oscilloscope, hard_disc, CD_player, notebook, joystick","hard_disc, combination_lock, violin, joystick, switch"
n03494278,harmonica,2.7281,0.4490,0.1927,"harmonica, microphone, flute, syringe, hand-held_computer","harmonica, electric_guitar, oboe, banjo, spindle","harmonica, accordion, flute, panpipe, ocarina"
n03495258,harp,3.4804,0.1633,0.5174,"harp, hair_spray, flute, reflex_camera, cello","harp, cello, cornet, oboe, sax","harp, violin, cello, grand_piano, upright"
n03496892,harvester,2.2101,0.3061,0.4779,"harvester, thresher, tractor, plow, forklift","harvester, tractor, Model_T, thresher, ambulance","harvester, thresher, desktop_computer, notebook, web_site"
n03498962,hatchet,2.4267,0.5800,0.5193,"hatchet, rifle, cleaver, spatula, letter_opener","hatchet, assault_rifle, bow, bearskin, rifle","hatchet, cleaver, letter_opener, plane, plow"
n03527444,holster,2.2240,0.3542,0.4891,"holster, revolver, rifle, scabbard, buckle","holster, revolver, padlock, knee_pad, iron","holster, scabbard, tile_roof, bell_cote, birdhouse"
n03529860,home_theater,3.8127,0.5000,0.2014,"home_theater, entertainment_center, television, CD_player, screen","home_theater, desk, entertainment_center, monitor, photocopier","home_theater, cinema, barn, library, stupa"
n03530642,honeycomb,1.7461,0.5385,0.9393,"honeycomb, apiary, strainer, hen-of-the-woods, maraca","honeycomb, mushroom, acorn, coral_fungus, agaric","honeycomb, plate_rack, pedestal, steel_arch_bridge, viaduct"
n03532672,hook,1.9110,0.8511,0.2088,"hook, chain, safety_pin, padlock, buckle","cello, scabbard, oboe, bassoon, trombone","hook, pinwheel, potter's_wheel, paddlewheel, carousel"
n03534580,hoopskirt,2.9033,0.5000,0.4902,"hoopskirt, overskirt, gown, vestment, toilet_tissue","hoopskirt, trench_coat, maillot, kimono, poncho","hoopskirt, sarong, overskirt, miniskirt, Windsor_tie"
n03535780,horizontal_bar,3.2036,0.2128,0.0780,"horizontal_bar, parallel_bars, balance_beam, maillot, bathing_cap","horizontal_bar, parallel_bars, balance_beam, ballplayer, volleyball","horizontal_bar, parallel_bars, balance_beam, dumbbell, barbell"
n03538406,horse_cart,4.3121,0.3265,0.3385,"horse_cart, oxcart, plow, ox, harvester","horse_cart, oxcart, thresher, plow, snowplow","horse_cart, jinrikisha, oxcart, police_van, moving_van"
n03544143,hourglass,2.0250,0.1600,0.4670,"hourglass, crutch, red_wine, goblet, iron","hourglass, cocktail_shaker, teapot, oil_filter, beaker","hourglass, parking_meter, stopwatch, sundial, digital_watch"
n03584254,iPod,1.8846,0.3125,0.3749,"iPod, lens_cap, tape_player, rubber_eraser, ballpoint","iPod, oscilloscope, hand-held_computer, remote_control, CD_player","iPod, television, maze, radio, flute"
n03584829,iron,2.4646,0.3400,0.3869,"iron, modem, water_bottle, coffeepot, hand_blower","iron, holster, hand_blower, binoculars, can_opener","iron, waffle_iron, toaster, microwave, Dutch_oven"
n03590841,jack-o'-lantern,1.2530,0.0200,0.4368,"jack-o'-lantern, candle, stove, umbrella, magnetic_compass","jack-o'-lantern, candle, lighter, spotlight, lampshade","jack-o'-lantern, spotlight, candle, torch, gong"
